DATE	SERIES	OPEN	HIGH	LOW	PREV. CLOSE	LTP	CLOSE	VWAP	52W H	52W L	VOLUME	VALUE	NO. OF  TRADES
01-Sep-25	EQ	"1,918.90"	"1,946.00"	"1,913.00"	"1,913.50"	"1,942.90"	"1,943.50"	"1,936.36"	"2,135.00"	"1,551.65"	590079	"1,14,26,05,303.00"	44268
29-Aug-25	EQ	"1,923.10"	"1,931.10"	"1,910.00"	"1,917.60"	"1,916.00"	"1,913.50"	"1,919.39"	"2,135.00"	"1,551.65"	735268	"1,41,12,67,710.90"	48356
28-Aug-25	EQ	"1,920.00"	"1,939.70"	"1,910.60"	"1,924.20"	"1,917.00"	"1,917.60"	"1,926.17"	"2,135.00"	"1,551.65"	985012	"1,89,73,03,382.00"	57990
26-Aug-25	EQ	"1,960.00"	"1,963.40"	"1,917.60"	"1,963.80"	"1,921.00"	"1,924.20"	"1,933.21"	"2,135.00"	"1,551.65"	1179819	"2,28,08,37,524.10"	53818
25-Aug-25	EQ	"1,959.10"	"1,967.80"	"1,953.00"	"1,965.90"	"1,964.00"	"1,963.80"	"1,962.06"	"2,135.00"	"1,551.65"	869509	"1,70,60,33,135.90"	33145
22-Aug-25	EQ	"1,975.00"	"1,977.30"	"1,963.50"	"1,980.00"	"1,967.60"	"1,965.90"	"1,968.73"	"2,135.00"	"1,545.05"	709444	"1,39,67,06,849.90"	31792
21-Aug-25	EQ	"1,984.00"	"1,998.00"	"1,974.50"	"1,958.50"	"1,978.60"	"1,980.00"	"1,983.98"	"2,135.00"	"1,545.05"	2346236	"4,65,48,80,393.40"	57739
20-Aug-25	EQ	"1,972.80"	"1,976.50"	"1,949.20"	"1,972.20"	"1,959.00"	"1,958.50"	"1,955.00"	"2,135.00"	"1,545.05"	1461680	"2,85,75,77,982.80"	35362
19-Aug-25	EQ	"1,994.00"	"1,997.60"	"1,964.80"	"1,993.50"	"1,973.90"	"1,972.20"	"1,971.55"	"2,135.00"	"1,545.05"	1389770	"2,74,00,02,088.80"	42178
18-Aug-25	EQ	"1,950.00"	"2,017.00"	"1,950.00"	"1,925.10"	"1,995.00"	"1,993.50"	"1,999.82"	"2,135.00"	"1,545.05"	1473915	"2,94,75,69,754.00"	71166
14-Aug-25	EQ	"1,914.40"	"1,939.10"	"1,912.50"	"1,914.40"	"1,920.60"	"1,925.10"	"1,927.55"	"2,135.00"	"1,523.25"	765742	"1,47,60,08,621.10"	61920
13-Aug-25	EQ	"1,914.00"	"1,920.00"	"1,892.90"	"1,908.00"	"1,917.00"	"1,914.40"	"1,909.44"	"2,135.00"	"1,523.25"	710014	"1,35,57,32,648.30"	35538
12-Aug-25	EQ	"1,925.00"	"1,934.30"	"1,904.00"	"1,922.80"	"1,905.00"	"1,908.00"	"1,917.05"	"2,135.00"	"1,523.25"	899579	"1,72,45,36,802.80"	54512
11-Aug-25	EQ	"1,918.00"	"1,939.80"	"1,903.10"	"1,919.20"	"1,929.30"	"1,922.80"	"1,912.02"	"2,135.00"	"1,523.25"	1489228	"2,84,74,36,287.70"	59594
08-Aug-25	EQ	"1,915.00"	"1,929.70"	"1,906.40"	"1,914.00"	"1,919.00"	"1,919.20"	"1,918.38"	"2,135.00"	"1,523.25"	507893	"97,43,32,048.70"	43308
07-Aug-25	EQ	"1,919.70"	"1,932.90"	"1,890.60"	"1,924.00"	"1,920.90"	"1,914.00"	"1,908.34"	"2,135.00"	"1,523.25"	905353	"1,72,77,19,296.60"	44209
